FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2019/03/11 10:07:38.252),FixationDuration
0.23062,0.48955,0.10666,7532OS,model,0.23061,230.62
0.8578,0.39629,0.04405,7532OS,text,1.10506,
1.07202,0.40359,0.09057,7532OS,model,2.2429,1072.02
0.32943,0.33864,0.28046,7532OS,text,2.58874,329.43
0.49435,0.30159,0.13479,7532OS,text,3.69308,494.35
0.72515,0.37199,0.1295,7532OS,text,4.43559,725.15
2.02768,0.3437,0.0738,7532OS,text,6.48011,2027.68
1.33538,0.43406,0.22651,7532OS,model,7.8317,1335.38
0.36285,0.36673,0.29166,7532OS,text,8.2607,362.85
0.2972,0.49152,0.17873,7532OS,model,8.57438,297.2
0.5931,0.28361,0.17842,7532OS,text,9.18397,593.1
0.23061,0.11263,0.23431,7532OS,text,9.48085,230.61
0.33001,0.17898,0.15595,7532OS,text,10.07433,330.01
0.5938,0.0743,0.21888,7532OS,hierachy,10.99824,593.8
2.04465,0.15209,0.20203,7532OS,text,13.10835,2044.65
0.64281,0.25517,0.09678,7532OS,text,13.81707,642.81
0.42863,0.26697,0.1541,7532OS,text,14.26245,428.63
0.57761,0.27804,0.17772,7532OS,text,14.85615,577.61
0.31305,0.32823,0.13132,7532OS,text,15.18568,313.05
0.26334,0.52799,0.16704,7532OS,model,15.46576,263.34
0.32986,0.4059,0.17577,7532OS,model,15.86163,329.86
0.2638,0.26659,0.0824,7532OS,text,16.14178,263.8
0.39607,0.10275,0.15381,7532OS,text,16.55433,396.07
0.39606,0.08495,0.14879,7532OS,hierachy,17.01608,396.06
0.52776,0.07136,0.03905,7532OS,hierachy,17.56007,
0.29675,0.17838,0.06986,7532OS,text,17.87299,
0.31312,0.25646,0.18199,7532OS,text,18.20273,313.12
0.54393,0.33853,0.10595,7532OS,text,18.76355,543.93
0.32986,0.48557,0.15799,7532OS,model,19.11013,329.86
0.23029,0.93782,0.29077,7532OS,task,19.40623,230.29
0.67626,0.93172,0.31775,7532OS,task,20.09872,676.26
0.14828,0.32345,1.82338,7532OS,text,21.07174,
0.28011,0.92646,0.25582,7532OS,task,22.30809,280.11
0.79117,0.92211,0.26054,7532OS,task,23.11639,791.17
0.29713,0.94641,0.75161,7532OS,task,23.47937,297.13
1.00563,0.87572,0.68817,7532OS,task,24.50138,1005.63
0.23067,0.89245,0.27762,7532OS,task,24.79792,230.67
0.44548,0.88598,0.19775,7532OS,task,25.25992,445.48
0.28055,0.88475,0.27559,7532OS,task,25.60617,280.55
0.41267,0.93558,0.29702,7532OS,task,26.03471,412.67
0.42796,0.89643,0.26062,7532OS,task,26.4797,427.96
0.69202,0.84993,0.25103,7532OS,task,27.18857,692.02
0.47807,0.24896,1.65656,7532OS,text,28.02981,
0.36287,0.3286,1.652,7532OS,text,28.40907,
0.41203,0.26612,1.68148,7532OS,text,28.83744,
0.47799,0.21528,1.63853,7532OS,text,29.3323,
0.2317,0.08288,1.70602,7532OS,hierachy,29.57996,
0.29658,0.18128,1.69141,7532OS,text,29.89304,
0.42873,0.22823,1.64089,7532OS,text,30.33806,
0.5602,0.94694,0.51295,7532OS,task,31.16228,560.2
0.29642,0.94793,0.82609,7532OS,task,31.52475,296.42
0.23049,0.90484,0.2556,7532OS,task,31.77212,230.49
0.97287,0.8576,0.27461,7532OS,task,32.81142,972.87
0.56013,0.83066,0.26566,7532OS,task,33.38801,560.13
0.85735,0.85802,0.27079,7532OS,task,34.26223,857.35
0.52825,0.84505,0.29863,7532OS,task,34.80672,528.25
0.59303,0.92277,0.28413,7532OS,task,35.41613,593.03
0.29691,0.84351,0.3283,7532OS,task,35.72987,296.91
0.49496,0.84984,0.39727,7532OS,task,36.24083,494.96
0.39571,0.9075,0.38764,7532OS,task,36.65292,395.71
0.51152,0.86213,0.40157,7532OS,task,37.18034,511.52
0.75945,0.82666,0.27223,7532OS,task,37.95589,759.45
0.44522,0.8195,0.29979,7532OS,task,38.46632,445.22
0.87389,0.82459,0.25822,7532OS,task,39.35645,873.89
0.44609,0.80754,0.23607,7532OS,task,39.81901,446.09
0.39507,0.79475,0.19216,7532OS,model,40.28006,395.07
0.28083,0.81312,0.24751,7532OS,task,40.57724,280.83
0.80716,0.78401,0.25673,7532OS,model,41.40063,807.16
0.67601,0.73828,0.26537,7532OS,model,42.09328,676.01
0.28006,0.7563,0.12692,7532OS,model,42.39013,280.06
0.49515,0.78221,0.08591,7532OS,model,42.90166,495.15
0.41209,0.79405,0.17073,7532OS,model,43.32987,412.09
0.54401,0.75732,0.28902,7532OS,model,43.89051,544.01
1.02148,0.77058,0.13615,7532OS,model,44.92924,1021.48
