FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2018/10/26 16:24:10.124),FixationDuration
0.11487,0.23406,0.19145,12345678,text,0.11487,114.87
0.59436,0.26698,0.23925,12345678,text,0.72559,594.36
0.19763,0.63464,0.40981,12345678,model,1.03821,197.63
0.08179,0.92263,-0.0104,12345678,task,1.13733,81.79
0.26355,0.97292,0.07256,12345678,task,1.46741,263.55
0.0824,0.95009,0.10208,12345678,task,1.9126,82.4
0.21436,0.11576,0.24641,12345678,text,2.48962,214.36
0.198,0.56093,0.64833,12345678,model,2.70422,198
0.24756,0.57079,0.66315,12345678,model,3.06665,247.56
0.21387,0.92339,0.40306,12345678,task,5.573,213.87
0.3468,0.98941,0.0472,12345678,task,6.03455,346.8
0.11646,0.94823,0.11854,12345678,task,6.16724,116.46
0.2644,0.15946,0.18196,12345678,text,8.2771,264.4
0.24707,0.17895,0.20303,12345678,text,8.54089,247.07
0.08215,0.25628,0.2518,12345678,text,9.52991,82.15
0.04944,0.2789,0.16775,12345678,text,9.64563,49.44
0.2146,0.17057,0.21032,12345678,text,9.92566,214.6
0.19824,0.2389,0.08736,12345678,text,10.79968,198.24
0.51086,0.42166,0.13382,12345678,model,11.32666,510.86
0.04919,0.80407,0.28229,12345678,task,11.44226,49.19
0.4292,0.85594,0.21849,12345678,task,12.18481,429.2
0.26404,0.83678,0.06371,12345678,task,12.72888,264.04
0.31335,0.80906,0.06288,12345678,task,13.51965,313.35
0.77527,0.89781,0.1175,12345678,task,14.31152,775.27
0.41174,0.96011,0.05667,12345678,task,14.73999,411.74
0.69214,0.06654,0.08842,12345678,hierachy,16.42175,692.14
0.26343,0.01786,0.1387,12345678,hierachy,16.70264,263.43
0.2146,0.04996,0.11189,12345678,hierachy,17.49365,214.6
0.2478,0.17275,0.10259,12345678,text,18.02148,247.8
0.36304,0.19829,0.11632,12345678,text,18.44995,363.04
0.21448,0.05565,0.13171,12345678,hierachy,19.07605,214.48
0.34656,0.46939,0.08165,12345678,model,19.88416,346.56
0.29736,0.94376,0.06385,12345678,task,20.24744,297.36
0.36194,0.83862,0.10534,12345678,task,20.62598,361.94
0.44556,0.90754,0.11155,12345678,task,21.08801,445.56
0.24768,0.77342,0.13863,12345678,model,21.35181,247.68
0.72583,0.78832,0.16084,12345678,model,22.09387,725.83
0.36279,0.81615,-0.21723,12345678,task,22.47302,362.79
0.75891,0.90352,0.10612,12345678,task,23.59436,758.91
0.42822,0.77567,0.16941,12345678,model,24.03894,428.22
0.8075,0.81091,0.16656,12345678,task,24.91309,807.5
0.28088,0.95715,0.14593,12345678,task,25.21057,280.88
0.19775,0.94025,0.12723,12345678,task,26.10046,197.75
0.70923,0.91316,0.14757,12345678,task,27.2218,709.23
0.82385,0.86166,0.14443,12345678,task,28.06189,823.85
0.37927,0.91004,0.14232,12345678,task,28.45764,379.27
0.55957,0.85454,0.13348,12345678,task,29.03552,559.57
0.2804,0.84949,0.28418,12345678,task,29.33215,280.4
0.4281,0.83078,0.12265,12345678,task,30.17249,428.1
0.5116,0.75787,0.11368,12345678,model,30.70056,511.6
0.24719,0.91719,0.07299,12345678,task,33.14087,247.19
0.2146,0.98068,0.33951,12345678,task,35.10278,214.6
0.297,0.93948,0.13578,12345678,task,35.46582,297
0.44519,0.8538,0.16369,12345678,task,35.97668,445.19
