FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2018/10/26 16:24:10.124),FixationDuration
1.08789,0.71223,0.19391,1234567,model,17.19727,1087.89
0.23047,0.75554,0.64611,1234567,model,17.44531,230.47
0.36328,0.89875,0.62405,1234567,task,17.82422,363.28
0.13086,0.89666,0.61058,1234567,task,18.02148,130.86
0.09961,0.92232,0.55353,1234567,task,19.62109,99.61
0.37891,0.50072,0.31591,1234567,model,20.06641,378.91
0.21484,0.62188,0.22053,1234567,model,20.29883,214.84
0.3457,0.63532,0.266,1234567,model,20.66016,345.7
0.2168,0.84181,0.20344,1234567,task,20.89258,216.8
0.09961,0.79473,0.14131,1234567,model,21.00781,99.61
0.04883,0.83901,0.24052,1234567,task,21.17188,48.83
0.04883,0.35877,0.84536,1234567,text,27.14063,48.83
0.09766,0.75262,0.11704,1234567,model,39.91797,97.66
0.16602,0.71371,0.26442,1234567,model,40.29883,166.02
0.3125,0.59779,0.12884,1234567,model,43.69336,312.5
0.23242,0.76449,0.04273,1234567,model,50.27344,232.42
0.2793,0.41825,0.2543,1234567,model,50.56836,279.3
0.36328,0.63968,0.32726,1234567,model,50.94922,363.28
0.57617,0.63788,0.16557,1234567,model,58.12109,576.17
0.21484,0.62795,0.20824,1234567,model,58.40234,214.84
0.24609,0.7879,0.17659,1234567,model,58.8125,246.09
0.19922,0.73154,0.27026,1234567,model,59.07813,199.22
0.49414,0.80886,0.1888,1234567,task,59.73633,494.14
0.36133,0.82253,0.18533,1234567,task,60.11523,361.33
0.29688,0.77123,0.19534,1234567,model,60.42969,296.88
0.23242,0.30941,0.74569,1234567,text,60.67773,232.42
0.42969,0.63029,0.01239,1234567,model,61.17188,429.69
0.3125,0.66513,0.20302,1234567,model,61.55078,312.5
0.37891,0.77099,0.15602,1234567,model,61.94531,378.91
0.44531,0.82615,0.37006,1234567,task,62.4082,445.31
0.21484,0.82341,0.37981,1234567,task,62.73828,214.84
0.46094,0.82049,0.13024,1234567,task,63.26563,460.94
0.42969,0.76724,0.10603,1234567,model,64.30469,429.69
0.41211,0.74577,0.15889,1234567,model,64.73242,412.11
0.33008,0.84606,0.13503,1234567,task,65.08008,330.08
0.24609,0.81866,-0.01059,1234567,task,66.08398,246.09
0.31445,0.6838,0.44625,1234567,model,66.81055,314.45
0.08398,0.72794,0.18149,1234567,model,67.20703,83.98
0.26367,0.86018,0.70778,1234567,task,67.63477,263.67
0.26367,0.57702,0.29819,1234567,model,68.31055,263.67
0.21289,0.61004,0.3578,1234567,model,68.58984,212.89
0.14844,0.55641,0.3517,1234567,model,68.75586,148.44
0.21484,0.60482,0.38469,1234567,model,69.2832,214.84
0.28125,0.84141,0.17586,1234567,task,70.27344,281.25
0.11523,0.49294,0.20857,1234567,model,71.88867,115.23
0.06641,0.49294,0.20857,1234567,model,71.9707,66.41
0.39648,0.8076,0.15059,1234567,task,85.54102,396.48
