FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2018/10/26 16:24:10.124),FixationDuration
0.39526,0.79101,0.19393,003SD,model,673.51587,395.26
0.5769,0.89992,0.21487,003SD,task,674.15918,576.9
0.51074,0.93845,0.21796,003SD,task,674.68652,510.74
0.39673,0.69713,0.21915,003SD,model,675.09937,396.73
0.19702,0.91457,0.25609,003SD,task,675.36206,197.02
0.19751,0.93137,0.23294,003SD,task,676.08813,197.51
0.31323,0.8531,0.2716,003SD,task,676.46753,313.23
0.56055,0.86696,0.20595,003SD,task,677.04468,560.55
0.31274,0.94251,0.20581,003SD,task,677.37402,312.74
0.28027,0.85713,0.20911,003SD,task,677.67114,280.27
0.4126,0.85599,0.24804,003SD,task,678.1001,412.6
0.44482,0.84872,0.25733,003SD,task,678.90771,444.82
0.34644,0.85857,0.349,003SD,task,679.32031,346.44
0.21387,0.87192,0.36909,003SD,task,680.01196,213.87
0.26416,0.7731,0.32716,003SD,model,680.29297,264.16
1.18652,0.90087,0.41168,003SD,task,681.49585,1186.52
0.39673,0.95883,0.44698,003SD,task,681.90894,396.73
0.51074,0.89933,0.40653,003SD,task,682.43579,510.74
0.62622,0.93766,0.34073,003SD,task,683.07935,626.22
0.36206,0.90829,0.41259,003SD,task,683.45825,362.06
0.24707,0.9784,0.44747,003SD,task,683.72217,247.07
0.26392,0.92603,0.53664,003SD,task,684.0022,263.92
0.2146,0.79432,0.71253,003SD,model,684.28296,214.6
0.24683,0.92882,0.51088,003SD,task,685.04077,246.83
0.67554,0.49982,0.45046,003SD,model,685.78271,675.54
0.41211,0.03644,0.45998,003SD,hierachy,686.36035,412.11
0.14893,0.18938,0.50337,003SD,text,686.52563,148.93
0.18115,0.74917,0.47919,003SD,model,686.92065,181.15
0.37915,0.18652,0.38224,003SD,text,687.56396,379.15
0.09961,0.93599,-3.76661,003SD,task,691.75195,99.61
0.29639,0.82627,0.49433,003SD,task,693.38354,296.39
0.41235,0.94566,0.54095,003SD,task,693.81274,412.35
0.21436,0.82504,0.39031,003SD,task,694.04321,214.36
0.36279,0.72735,0.54564,003SD,model,694.4231,362.79
0.08228,0.7392,0.49492,003SD,model,694.52173,82.28
0.21436,0.79946,0.44992,003SD,model,695.198,214.36
0.26343,0.76894,0.47282,003SD,model,695.5271,263.43
0.51099,0.86706,0.52725,003SD,task,696.05469,510.99
0.65991,0.82369,0.53826,003SD,task,696.7312,659.91
0.13184,0.8994,0.69911,003SD,task,697.7373,131.84
0.23047,0.88287,0.50773,003SD,task,698.13257,230.47
0.08228,0.86055,0.52434,003SD,task,698.23169,82.28
0.2644,0.98947,0.469,003SD,task,698.51221,264.4
0.2793,0.83762,0.53504,003SD,task,698.80835,279.3
0.42822,0.91889,0.51545,003SD,task,699.25366,428.22
0.28003,0.82925,0.54288,003SD,task,699.81445,280.03
0.46143,0.83095,0.50961,003SD,task,700.29224,461.43
0.39575,0.82877,0.43615,003SD,task,700.70459,395.75
0.44482,0.91671,0.49011,003SD,task,701.9082,444.82
0.21411,0.66354,-0.51492,003SD,model,703.50708,214.11
0.23096,0.91287,0.68817,003SD,task,704.38184,230.96
0.06592,0.92789,0.79988,003SD,task,706.36011,65.92
0.14819,0.83169,0.84542,003SD,task,706.98657,148.19
0.28003,0.78963,0.72784,003SD,model,707.8938,280.03
0.23022,0.92183,0.66835,003SD,task,708.14038,230.22
0.27979,0.97174,0.71925,003SD,task,709.26147,279.79
0.19751,0.8726,0.75327,003SD,task,709.52563,197.51
0.13232,0.99113,0.79189,003SD,task,709.67407,132.32
0.42871,0.82751,0.43547,003SD,task,710.67969,428.71
0.23071,0.89809,0.57728,003SD,task,710.97656,230.71
0.23096,0.96665,0.47197,003SD,task,711.85083,230.96
0.36279,0.98398,0.38392,003SD,task,712.22998,362.79
0.2644,0.91021,0.40391,003SD,task,712.51025,264.4
0.44507,0.87113,0.32483,003SD,task,712.97192,445.07
0.31372,0.88254,0.23612,003SD,task,713.30127,313.72
0.24756,0.92445,0.39358,003SD,task,713.56567,247.56
0.198,0.91458,0.78308,003SD,task,715.56079,198
0.198,0.92032,0.37951,003SD,task,717.95142,198
0.42896,0.909,0.38571,003SD,task,718.44604,428.96
0.32959,0.7979,0.44608,003SD,model,718.79175,329.59
0.31372,0.86824,0.47466,003SD,task,719.12207,313.72
0.29663,0.84384,0.39183,003SD,task,719.43457,296.63
0.36328,0.85343,0.49809,003SD,task,719.81445,363.28
0.06567,0.73924,0.58237,003SD,model,720.44043,65.67
0.21509,0.87812,0.36336,003SD,task,720.86987,215.09
0.32983,0.8433,0.36,003SD,task,721.21558,329.83
0.7417,0.90284,0.39678,003SD,task,721.97388,741.7
0.29688,0.98746,0.45417,003SD,task,722.2876,296.88
0.23071,0.88723,0.43361,003SD,task,722.53491,230.71
0.24731,0.87318,0.40064,003SD,task,722.84814,247.31
0.29736,0.0415,0.82394,003SD,hierachy,731.02637,297.36
0.23022,0.1939,0.69435,003SD,text,731.32251,230.22
0.29712,0.09266,0.64594,003SD,hierachy,731.63623,297.12
0.14893,0.93696,0.54615,003SD,task,738.11597,148.93
0.37988,0.15287,0.52332,003SD,text,740.27612,379.88
0.46143,0.05531,0.37713,003SD,hierachy,740.80347,461.43
0.39551,0.11261,0.52452,003SD,text,741.26514,395.51
0.46118,0.03199,0.47021,003SD,hierachy,741.74316,461.18
0.31299,0.15898,0.36283,003SD,text,742.07324,312.99
0.46167,0.19464,0.39022,003SD,text,742.60059,461.67
0.44556,0.11786,0.37256,003SD,text,743.0625,445.56
0.396,0.05114,0.26692,003SD,hierachy,743.47485,396
0.28003,0.07837,0.31722,003SD,hierachy,743.77148,280.03
0.32983,0.02091,0.35642,003SD,hierachy,744.11768,329.83
0.32959,0.19174,0.3638,003SD,text,744.46338,329.59
0.31323,0.06466,0.25141,003SD,hierachy,744.79346,313.23
0.44507,0.16807,0.29236,003SD,text,745.25488,445.07
0.56104,0.18233,0.3324,003SD,text,745.83301,561.04
0.54419,0.11575,0.28765,003SD,text,746.54175,544.19
0.29736,0.05581,0.20416,003SD,hierachy,746.90454,297.36
0.21509,0.02945,0.41291,003SD,hierachy,747.38257,215.09
0.29639,0.21364,0.46241,003SD,text,748.00854,296.39
0.32983,0.27716,0.49442,003SD,text,748.35522,329.83
0.47876,0.1108,0.50727,003SD,text,748.84961,478.76
0.28003,0.17762,0.4542,003SD,text,749.19604,280.03
0.49487,0.21224,0.55747,003SD,text,749.70679,494.87
0.62671,0.29454,0.53103,003SD,text,750.35034,626.71
0.29688,0.27455,0.62432,003SD,text,750.66357,296.88
0.4126,0.20352,0.50975,003SD,text,751.68579,412.6
0.31348,0.17838,0.61932,003SD,text,752.01538,313.48
0.32959,0.12626,0.3261,003SD,text,753.10376,329.59
0.39526,0.26931,0.32908,003SD,text,753.51514,395.26
0.28027,0.19603,0.18231,003SD,text,753.8125,280.27
0.26343,0.17384,0.28229,003SD,text,754.09229,263.43
0.56104,0.27013,0.25555,003SD,text,754.67017,561.04
0.23096,0.05077,0.26695,003SD,hierachy,754.91748,230.96
0.54419,0.15887,0.34685,003SD,text,755.47778,544.19
0.11523,0.18408,0.38962,003SD,text,755.60962,115.23
0.24731,0.86817,0.45132,003SD,task,756.46704,247.31
0.5769,0.2147,0.25784,003SD,text,757.47314,576.9
0.49414,0.24917,0.21538,003SD,text,757.98364,494.14
0.23047,0.0385,0.33794,003SD,hierachy,758.2312,230.47
0.44556,0.15782,0.2712,003SD,text,758.69336,445.56
0.34619,0.19458,0.27725,003SD,text,759.05566,346.19
0.31348,0.94873,0.43241,003SD,task,759.92993,313.48
0.21387,0.98386,0.41586,003SD,task,760.16016,213.87
0.08276,0.87713,0.25914,003SD,task,760.25952,82.76
0.24707,0.81843,0.24834,003SD,task,761.51221,247.07
0.44507,0.87545,0.24068,003SD,task,761.97388,445.07
0.13159,0.75648,0.25884,003SD,model,762.40283,131.59
0.06616,0.89215,0.34237,003SD,task,762.93042,66.16
0.29663,0.79059,0.298,003SD,model,763.3916,296.63
0.34619,0.82561,0.34296,003SD,task,763.75464,346.19
0.37891,0.98918,0.40426,003SD,task,764.57935,378.91
0.29688,0.09992,0.3931,003SD,hierachy,765.28784,296.88
0.4292,0.1009,0.42416,003SD,text,765.73315,429.2
0.37939,0.05611,0.45177,003SD,hierachy,766.17871,379.39
0.3291,0.19365,0.50399,003SD,text,766.52441,329.1
0.29688,0.24195,0.41296,003SD,text,766.83789,296.88
0.39526,0.02293,0.54033,003SD,hierachy,767.25,395.26
0.41235,0.12183,0.54523,003SD,text,767.72827,412.35
0.57813,0.1775,0.53813,003SD,text,768.32251,578.13
0.67603,0.21871,0.49124,003SD,text,769.01416,676.03
0.47778,0.14584,0.50459,003SD,text,769.50903,477.78
0.46216,0.0663,0.49363,003SD,hierachy,769.98755,462.16
0.41235,0.22311,0.48947,003SD,text,770.41602,412.35
0.42798,0.27646,0.51588,003SD,text,770.86084,427.98
0.72583,0.30606,0.60339,003SD,text,771.60327,725.83
0.21436,0.02629,0.50299,003SD,hierachy,771.83398,214.36
0.32983,0.11809,0.58205,003SD,text,772.22974,329.83
0.198,0.21102,0.58222,003SD,text,772.44409,198
0.36279,0.03784,0.48952,003SD,hierachy,773.41699,362.79
0.32959,0.12529,0.46277,003SD,text,773.76294,329.59
0.29712,0.2797,0.48038,003SD,text,774.22461,297.12
0.37939,0.90222,0.33316,003SD,task,776.05493,379.39
0.5437,0.9847,0.36469,003SD,task,776.61523,543.7
0.54395,0.97079,0.38391,003SD,task,777.17603,543.95
0.64282,0.94361,0.40597,003SD,task,778.57739,642.82
0.51123,0.91503,0.3801,003SD,task,779.10498,511.23
0.37891,0.90844,0.22032,003SD,task,784.24902,378.91
0.24683,0.91131,0.13287,003SD,task,784.56226,246.83
0.31348,0.85302,0.177,003SD,task,784.89233,313.48
0.37866,0.85048,0.3279,003SD,task,785.2876,378.66
0.18115,0.94279,0.19277,003SD,task,785.93091,181.15
0.34619,0.93861,0.20786,003SD,task,786.44238,346.19
0.2644,0.85654,0.30203,003SD,task,786.7229,264.4
0.42822,0.93581,0.31258,003SD,task,787.16772,428.22
0.34644,0.79839,0.32983,003SD,model,787.53027,346.44
0.26416,0.92036,0.27202,003SD,task,787.86035,264.16
0.44458,0.87316,0.22818,003SD,task,788.32129,444.58
0.36304,0.73388,0.35718,003SD,model,788.70093,363.04
0.24731,0.94197,0.35243,003SD,task,789.0144,247.31
0.2478,0.92556,0.38882,003SD,task,789.27856,247.8
0.49487,0.97739,0.35724,003SD,task,789.78906,494.87
0.26416,0.78203,0.40386,003SD,model,790.06958,264.16
0.37891,0.92883,0.40935,003SD,task,790.61328,378.91
0.72534,0.72527,0.45845,003SD,model,791.35571,725.34
0.16577,0.44244,-0.52183,003SD,model,791.53735,165.77
0.46167,0.94133,0.48592,003SD,task,793.71313,461.67
0.39575,0.10348,0.50532,003SD,text,797.57153,395.75
0.41162,0.22495,0.43909,003SD,text,797.99976,411.62
0.396,0.0328,0.57363,003SD,hierachy,798.85742,396
0.18066,0.75392,-2.07076,003SD,model,799.20313,180.66
0.06592,0.05116,0.48077,003SD,hierachy,799.33569,65.92
0.36279,0.08321,0.35399,003SD,hierachy,799.76416,362.79
0.16528,0.2119,0.44605,003SD,text,799.94604,165.28
0.06616,0.75559,-1.65655,003SD,model,800.37476,66.16
0.31299,0.1401,0.6105,003SD,text,801.38013,312.99
0.28052,0.12655,0.79173,003SD,text,802.27051,280.52
0.08252,0.15396,0.81565,003SD,text,802.36938,82.52
0.26343,0.0832,0.44606,003SD,hierachy,803.44116,263.43
0.21436,0.64647,0.14951,003SD,model,805.40283,214.36
0.36279,0.84851,0.2696,003SD,task,805.78198,362.79
0.31299,0.8706,0.34147,003SD,task,806.11182,312.99
0.14844,0.83116,0.28324,003SD,task,806.2771,148.44
0.28076,0.86293,0.46195,003SD,task,807.0686,280.76
0.36279,0.86433,0.54987,003SD,task,807.49731,362.79
0.32983,0.91973,0.41756,003SD,task,807.89307,329.83
0.21436,0.87374,0.1987,003SD,task,808.51953,214.36
0.31323,0.81431,0.23536,003SD,task,808.84888,313.23
0.51147,0.8958,0.17674,003SD,task,809.3772,511.47
0.24683,0.81321,0.22997,003SD,task,809.64038,246.83
0.29688,0.88786,0.17428,003SD,task,809.95386,296.88
0.46216,0.50198,0.38064,003SD,model,810.43262,462.16
0.29736,0.01134,0.56472,003SD,hierachy,810.84473,297.36
0.2644,0.02794,0.64168,003SD,hierachy,811.12476,264.4
0.41187,0.06697,0.62525,003SD,hierachy,811.55322,411.87
0.2312,0.04018,0.62348,003SD,hierachy,811.80078,231.2
0.21387,0.70025,0.17343,003SD,model,812.22925,213.87
0.42871,0.87601,0.27653,003SD,task,812.67432,428.71
0.24756,0.7296,0.21475,003SD,model,812.93848,247.56
0.47852,0.26787,0.15115,003SD,text,813.72974,478.52
0.34595,0.79407,0.26562,003SD,model,814.19141,345.95
0.29688,0.79718,0.14111,003SD,model,814.50488,296.88
0.23047,0.89653,0.17565,003SD,task,814.75195,230.47
0.36255,0.77851,0.1854,003SD,model,815.13086,362.55
0.36279,0.86783,0.21392,003SD,task,815.5105,362.79
0.52734,0.91722,0.23508,003SD,task,816.05469,527.34
0.59277,0.69051,0.16614,003SD,model,816.8623,592.77
0.39551,0.7825,0.22598,003SD,model,817.27466,395.51
0.44556,0.8234,0.32231,003SD,task,817.73608,445.56
0.23096,0.88352,0.26655,003SD,task,817.98389,230.96
0.31299,0.81004,0.30705,003SD,task,818.31323,312.99
0.21411,0.88332,0.30847,003SD,task,818.59375,214.11
0.06641,0.75113,0.30163,003SD,model,818.97314,66.41
0.51147,0.15197,0.58864,003SD,text,819.99536,511.47
0.26392,0.19743,0.59426,003SD,text,820.27563,263.92
0.2644,0.13063,0.01561,003SD,text,820.70435,264.4
0.09888,0.16516,0.73087,003SD,text,821.80908,98.88
0.06567,0.12566,0.71832,003SD,text,822.03931,65.67
0.32935,0.18933,0.67939,003SD,text,822.5835,329.35
0.56128,0.15049,0.41269,003SD,text,823.70508,561.28
0.31299,0.13924,0.52046,003SD,text,824.03467,312.99
0.479,0.16906,0.50139,003SD,text,824.5293,479
0.39551,0.22472,0.51679,003SD,text,824.94165,395.51
0.56104,0.16922,0.56237,003SD,text,825.5188,561.04
0.11548,0.251,0.58596,003SD,text,826.09546,115.48
0.67651,0.21105,0.568,003SD,text,826.93701,676.51
0.67578,0.14251,0.49164,003SD,text,827.62915,675.78
0.90674,0.1985,0.63405,003SD,text,828.55225,906.74
0.42871,0.16599,0.52575,003SD,text,828.99756,428.71
0.4458,0.1674,0.55334,003SD,text,829.45947,445.8
0.65942,0.15568,0.65034,003SD,text,830.13501,659.42
0.09912,0.18024,0.62005,003SD,text,830.25122,99.12
0.14917,0.24871,0.57081,003SD,text,834.3728,149.17
0.60986,0.52462,0.61151,003SD,model,835.29614,609.86
0.19751,0.06349,0.50898,003SD,hierachy,835.51001,197.51
0.34668,0.18366,0.54904,003SD,text,835.92261,346.68
0.54492,0.02972,0.62374,003SD,hierachy,836.48364,544.92
0.32983,0.10209,0.45354,003SD,text,836.82959,329.83
0.24707,0.23887,0.49107,003SD,text,837.09302,247.07
0.31299,0.25598,0.53518,003SD,text,837.42285,312.99
0.21484,0.07567,0.47133,003SD,hierachy,837.6543,214.84
0.47827,0.07084,0.57964,003SD,hierachy,838.14844,478.27
0.28003,0.2101,0.51871,003SD,text,838.44482,280.03
0.36328,0.05651,0.53142,003SD,hierachy,839.35205,363.28
0.65942,0.08434,0.59282,003SD,hierachy,840.02783,659.42
0.18164,0.40887,0.02768,003SD,model,840.22607,181.64
0.36255,0.24211,0.53669,003SD,text,840.85205,362.55
0.39502,0.13965,0.61728,003SD,text,841.26392,395.02
0.31299,0.21727,0.52428,003SD,text,841.98975,312.99
0.72583,0.2137,0.62226,003SD,text,842.73193,725.83
0.36304,0.16664,0.61113,003SD,text,843.25977,363.04
0.26416,0.21791,0.62482,003SD,text,843.53979,264.16
0.42871,0.10255,0.62889,003SD,text,843.98511,428.71
0.37915,0.24628,0.59071,003SD,text,844.38062,379.15
0.28027,0.85493,0.40392,003SD,task,844.87549,280.27
0.2793,0.72545,0.35878,003SD,model,845.22119,279.3
0.42822,0.95289,0.37405,003SD,task,845.6665,428.22
0.2146,0.95858,0.61511,003SD,task,845.89795,214.6
0.84106,0.85737,0.23508,003SD,task,847.052,841.06
0.82422,0.92781,0.28392,003SD,task,847.89282,824.22
0.29736,0.85457,0.33307,003SD,task,848.20654,297.36
0.49414,0.92498,0.36096,003SD,task,848.71729,494.14
0.26392,0.964,0.33241,003SD,task,848.99756,263.92
