MEDIA_ID,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,CX,CY,CS,
0,0.00001,1,1,0.33269,0.10507,0.36302,0.08519,0,
0,0.01636,1,1,0.33100,0.10615,0.36302,0.08519,3,
0,0.03289,1,1,0.34721,0.11208,0.36302,0.08519,0,
0,0.04939,1,1,0.32344,0.10483,0.36302,0.08519,0,
0,0.06598,1,1,0.32522,0.10375,0.36302,0.08519,0,
0,0.08402,1,1,0.37891,0.13149,0.36302,0.08519,0,
0,0.09876,1,1,0.33724,0.12064,0.36302,0.08519,0,
0,0.11511,1,1,0.33892,0.11930,0.36302,0.08519,0,
0,0.13174,1,1,0.33361,0.12870,0.36302,0.08519,0,
0,0.14850,1,1,0.33818,0.10096,0.36302,0.08519,0,
0,0.16473,1,1,0.33818,0.10096,0.36302,0.08519,0,
0,0.18124,1,1,0.34875,0.12145,0.36302,0.08519,0,
0,0.19788,1,1,0.33756,0.09846,0.36302,0.08519,0,
0,0.21438,1,1,0.33588,0.09947,0.36302,0.08519,0,
0,0.23074,1,1,0.34580,0.12172,0.36302,0.08519,0,
0,0.24711,1,1,0.36175,0.08882,0.36302,0.08519,0,
0,0.26374,1,1,0.36175,0.08882,0.36354,0.08519,0,
0,0.27997,1,1,0.35094,0.11706,0.36354,0.08519,0,
0,0.29689,1,1,0.33893,0.14645,0.36406,0.08519,0,
0,0.31312,1,1,0.34060,0.14472,0.36406,0.08519,0,
0,0.32960,1,1,0.36019,0.12159,0.36406,0.08426,0,
0,0.34626,1,1,0.33815,0.10110,0.36458,0.08426,0,
0,0.36290,1,1,0.33815,0.10110,0.36458,0.08426,0,
0,0.37902,1,1,0.34053,0.11688,0.36458,0.08426,0,
0,0.39565,1,1,0.35546,0.12068,0.36458,0.08426,0,
0,0.41374,1,1,0.35546,0.12068,0.36510,0.08426,0,
0,0.42877,1,1,0.36915,0.12038,0.36510,0.08426,0,
0,0.44513,1,1,0.36875,0.09809,0.36562,0.08333,0,
0,0.46161,1,1,0.36875,0.09809,0.36562,0.08333,0,
0,0.47811,1,1,0.34472,0.12928,0.36562,0.08333,0,
0,0.49464,1,1,0.37041,0.12237,0.36562,0.08333,0,
0,0.51112,1,1,0.37041,0.12237,0.36615,0.08333,0,
0,0.52763,1,1,0.33680,0.12749,0.36615,0.08333,0,
0,0.54412,1,1,0.33723,0.13209,0.36667,0.08333,0,
0,0.56037,1,1,0.33723,0.13209,0.36667,0.08333,0,
0,0.57687,1,1,0.35651,0.12844,0.36823,0.08333,0,
0,0.59366,1,1,0.36962,0.11495,0.36823,0.08333,0,
0,0.60986,1,1,0.36962,0.11495,0.37031,0.08333,0,
0,0.62662,1,1,0.37712,0.15680,0.37031,0.08333,0,
0,0.64298,1,1,0.43811,0.16742,0.37760,0.09259,0,
0,0.64298,1,0,0.43776,0.16923,0.37760,0.09259,0,
0,0.64298,1,0,0.43065,0.21036,0.38698,0.10185,0,
0,0.64298,1,0,0.44886,0.22097,0.40104,0.11574,0,
0,0.64298,1,0,0.44867,0.22337,0.40104,0.11574,0,
0,0.64298,1,0,0.44763,0.22290,0.41406,0.12315,0,
0,0.64298,1,0,0.42310,0.21199,0.41406,0.12315,0,
0,0.04913,2,1,0.42310,0.21199,0.43333,0.12593,0,
0,0.06551,2,1,0.44614,0.21848,0.43333,0.12593,0,
0,0.08213,2,1,0.44056,0.21102,0.46250,0.12593,0,
0,0.09851,2,1,0.44056,0.21102,0.46250,0.12593,0,
0,0.11512,2,1,0.44833,0.20475,0.49167,0.12037,0,
0,0.13148,2,1,0.46765,0.19707,0.49167,0.12037,0,
0,0.15013,2,1,0.46765,0.19707,0.52604,0.11111,0,
0,0.16461,2,1,0.43310,0.21005,0.52604,0.11111,0,
0,0.18124,2,1,0.44567,0.21140,0.56094,0.10370,0,
0,0.19736,2,1,0.44590,0.20914,0.56094,0.10370,0,
0,0.21386,2,1,0.46393,0.20073,0.62448,0.08981,0,
0,0.23048,2,1,0.44474,0.21802,0.62448,0.08981,0,
