FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2018/10/26 16:24:10.124),FixationDuration
0.32941,0.03536,0.40129,12345,hierachy,663.47638,329.41
0.0484,0.52477,0.42251,12345,model,663.88831,48.4
0.21387,0.81209,0.40624,12345,task,664.16858,213.87
0.29657,0.8555,0.21427,12345,task,664.48212,296.57
0.36285,0.81768,0.16859,12345,task,664.91095,362.85
0.27997,0.76038,0.19247,12345,model,665.4057,279.97
0.3631,0.61146,0.18438,12345,model,665.83459,363.1
0.56091,0.8063,0.19137,12345,task,666.4613,560.91
0.85748,0.75322,0.19678,12345,model,667.33539,857.48
0.23114,0.85772,0.15091,12345,task,667.58221,231.14
0.16431,0.92112,0.11701,12345,task,667.96094,164.31
0.06567,0.89108,0.16156,12345,task,668.04382,65.67
0.46204,0.8541,0.25558,12345,task,668.62097,462.04
0.37988,0.92553,0.14392,12345,task,669.01709,379.88
0.32947,0.93189,0.18157,12345,task,669.36267,329.47
0.64307,0.92041,0.381,12345,task,670.12109,643.07
0.46136,0.94941,0.34246,12345,task,670.99536,461.36
0.24731,0.85685,0.29734,12345,task,671.25909,247.31
2.14325,0.97431,0.47433,12345,task,673.4187,2143.25
0.80786,0.94689,0.37347,12345,task,674.73822,807.86
0.90656,0.95721,0.31976,12345,task,675.66132,906.56
0.75793,0.82269,0.34479,12345,task,676.43591,757.93
0.77448,0.85862,0.32883,12345,task,677.22742,774.48
0.29736,0.72287,0.51205,12345,model,677.54114,297.36
0.09869,0.3514,-0.66763,12345,text,677.85406,98.69
0.3291,0.83479,0.43941,12345,task,678.34839,329.1
0.4942,0.81109,0.39263,12345,task,678.85956,494.2
0.841,0.8948,0.40315,12345,task,679.71722,841
0.49457,0.92654,0.39131,12345,task,680.22864,494.57
0.2807,0.7979,0.38727,12345,model,680.52533,280.7
1.78094,0.90103,0.40895,12345,task,682.32245,1780.94
0.21423,0.82202,0.61618,12345,task,682.55341,214.23
0.62622,0.9038,0.41333,12345,task,683.59186,626.22
1.02264,0.9557,0.48364,12345,task,684.63104,1022.64
1.87927,0.8286,0.49802,12345,task,686.52661,1879.27
0.52783,0.82108,0.52247,12345,task,687.07086,527.83
0.19757,0.7616,0.46205,12345,model,687.72992,197.57
0.72534,0.937,0.53999,12345,task,688.86798,725.34
0.56036,0.79906,0.46977,12345,model,689.44525,560.36
0.5274,0.85307,0.55897,12345,task,689.9892,527.4
0.46179,0.91508,0.57275,12345,task,690.46747,461.79
0.87402,0.8006,0.57741,12345,task,691.35773,874.02
0.57703,0.86235,0.55788,12345,task,691.95142,577.03
0.11548,0.84482,0.65338,12345,task,692.08319,115.48
0.27997,0.81425,0.5312,12345,task,692.77527,279.97
0.42847,0.89547,0.53167,12345,task,693.22058,428.47
0.26398,0.84825,0.65256,12345,task,693.5014,263.98
0.34644,0.81855,0.67843,12345,task,693.86414,346.44
0.56104,0.87062,0.59784,12345,task,694.44122,561.04
0.36261,0.82289,0.69084,12345,task,694.82037,362.61
0.36298,0.88224,0.56721,12345,task,695.19952,362.98
0.21387,0.39127,0.36584,12345,text,695.43024,213.87
0.32983,0.02433,0.40887,12345,hierachy,696.07373,329.83
0.52771,0.03152,0.2643,12345,hierachy,696.66711,527.71
0.23059,0.10838,0.0201,12345,text,697.16144,230.59
0.46185,0.7925,0.66246,12345,model,698.03528,461.85
0.26447,0.82451,0.38626,12345,task,698.31598,264.47
0.26379,0.82585,0.26752,12345,task,698.64545,263.79
0.6593,0.82352,0.28308,12345,task,699.32111,659.3
0.69275,0.85585,0.36618,12345,task,700.03064,692.75
0.41199,0.89402,0.39213,12345,task,700.4588,411.99
0.62677,0.8207,0.36684,12345,task,701.10242,626.77
0.56061,0.83788,0.41775,12345,task,701.6792,560.61
0.80768,0.76884,0.39295,12345,model,702.50342,807.68
0.8736,0.83191,0.44311,12345,task,703.39392,873.6
0.41217,0.87407,0.47083,12345,task,703.82227,412.17
0.75848,0.90418,0.42984,12345,task,704.59766,758.48
0.41278,0.82573,0.48557,12345,task,705.02673,412.78
0.94,0.87973,0.48127,12345,task,705.98279,940
0.52844,0.9589,0.4758,12345,task,706.52692,528.44
0.39624,0.83576,0.54879,12345,task,706.93896,396.24
0.36304,0.87957,0.65529,12345,task,707.31824,363.04
0.72498,0.91502,0.52266,12345,task,708.40613,724.98
1.59955,0.86114,0.56082,12345,task,710.0224,1599.55
0.41211,0.85321,0.56676,12345,task,710.45087,412.11
0.79108,0.90244,0.56491,12345,task,711.25879,791.08
0.59351,0.90193,0.58189,12345,task,711.86847,593.51
0.41162,0.80079,0.55403,12345,task,712.29724,411.62
1.12079,0.89884,0.58984,12345,task,713.43506,1120.79
0.70874,0.82438,0.59014,12345,task,714.16071,708.74
0.52765,0.85565,0.60189,12345,task,714.70471,527.65
0.6925,0.86317,0.65926,12345,task,715.41345,692.5
0.26337,0.87888,0.58492,12345,task,716.04034,263.37
0.8252,0.82414,0.62997,12345,task,716.88135,825.2
0.39575,0.82886,0.7181,12345,task,717.29358,395.75
0.49457,0.848,0.67778,12345,task,717.80414,494.57
1.38556,0.88805,0.62423,12345,task,719.20636,1385.56
0.55981,0.85585,0.63441,12345,task,719.78278,559.81
0.89001,0.82311,0.63986,12345,task,720.68982,890.01
0.6922,0.93144,0.68037,12345,task,721.3988,692.2
0.37958,0.83801,0.65883,12345,task,721.79449,379.58
0.82489,0.85885,0.66119,12345,task,722.6358,824.89
0.42859,0.96,0.92462,12345,task,723.08081,428.59
0.7251,0.86126,0.65904,12345,task,723.92151,725.1
0.37946,0.86493,0.57891,12345,task,724.31726,379.46
0.11548,0.91164,0.62484,12345,task,724.44928,115.48
0.37897,0.82403,0.74491,12345,task,724.99329,378.97
0.06555,0.84845,0.69423,12345,task,725.22412,65.55
0.39539,0.96864,0.77308,12345,task,725.68555,395.39
0.21497,0.78248,0.71379,12345,model,725.96655,214.97
0.34656,0.84359,0.66855,12345,task,726.32904,346.56
0.09906,0.80564,0.63474,12345,task,726.44409,99.06
0.57642,0.88096,0.71667,12345,task,727.43298,576.42
0.41187,0.85295,0.84265,12345,task,728.01013,411.87
0.0498,0.92078,0.96237,12345,task,728.07684,49.8
0.13171,0.91256,0.75922,12345,task,728.42291,131.71
0.24664,0.88451,0.72944,12345,task,729.13153,246.64
0.23053,0.76878,0.68166,12345,model,729.42828,230.53
0.24719,0.84046,0.80036,12345,task,729.69226,247.19
0.84064,0.9292,0.85523,12345,task,730.5495,840.64
0.24695,0.93067,0.84933,12345,task,730.81335,246.95
0.41199,0.94723,1.61415,12345,task,731.4895,411.99
0.16486,0.90472,1.41788,12345,task,732.16534,164.86
0.06616,0.91382,1.71692,12345,task,732.74292,66.16
0.19769,0.95761,1.59229,12345,task,733.00623,197.69
0.26416,0.94235,0.67705,12345,task,736.37012,264.16
0.24689,0.8638,0.75165,12345,task,736.63361,246.89
0.36249,0.86991,0.74868,12345,task,737.01276,362.49
0.0498,0.91699,0.73599,12345,task,737.07928,49.8
0.32983,0.98378,1.97705,12345,task,737.47467,329.83
0.04962,0.92368,1.34504,12345,task,737.54059,49.62
0.2309,0.93966,1.01749,12345,task,737.78827,230.9
0.26355,0.83374,0.59149,12345,task,738.56262,263.55
0.26367,0.91606,0.76061,12345,task,739.33752,263.67
0.31274,0.9577,0.70103,12345,task,739.66742,312.74
0.04932,0.77493,0.73051,12345,model,739.78278,49.32
0.56097,0.80192,0.70478,12345,task,740.6073,560.97
