FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2019/03/15 10:03:10.870),FixationDuration
0.28048,0.88121,0.16517,7889OS,task,0.28049,280.48
0.21453,0.79672,0.62478,7889OS,model,0.51112,214.53
0.32885,0.50875,0.26821,7889OS,model,1.13758,328.85
0.19777,0.9954,0.16042,7889OS,task,1.40134,197.77
0.19769,0.70794,0.66692,7889OS,model,2.02833,197.69
0.24789,0.57811,0.16008,7889OS,model,2.3912,247.89
0.23092,0.47562,0.10745,7889OS,model,2.68803,230.92
0.19808,0.11441,0.23507,7889OS,text,3.19903,198.08
0.51143,0.14693,0.15373,7889OS,text,3.77627,511.43
0.23048,0.04972,0.27691,7889OS,hierachy,4.02309,230.48
0.11541,0.77308,0.27696,7889OS,model,4.15508,115.41
0.24699,0.64572,0.18579,7889OS,model,4.46833,246.99
0.21469,0.62336,0.11882,7889OS,model,7.1725,214.69
0.3792,0.08817,0.62781,7889OS,hierachy,9.71177,379.2
0.19743,0.90322,0.2199,7889OS,task,10.02453,197.43
0.24698,0.90523,0.17778,7889OS,task,10.66724,246.98
0.247,0.93354,0.19276,7889OS,task,11.80514,247
0.34692,0.96365,0.0796,7889OS,task,12.56443,346.92
0.21482,0.93518,0.30052,7889OS,task,15.56516,214.82
0.2642,0.89519,0.33317,7889OS,task,15.89468,264.2
0.28033,0.91264,0.46694,7889OS,task,16.19146,280.33
0.31362,0.95967,0.34749,7889OS,task,16.57075,313.62
0.14814,0.82025,0.40819,7889OS,task,16.735,148.14
0.41187,0.11263,0.59199,7889OS,text,18.45026,411.87
0.23115,0.15276,0.35804,7889OS,text,18.79678,231.15
0.33016,0.35793,0.5348,7889OS,text,19.14277,330.16
0.19751,0.81452,0.37596,7889OS,task,19.40662,197.51
0.19801,0.19961,0.17012,7889OS,text,19.96683,198.01
0.26355,0.41811,0.26829,7889OS,model,20.29659,263.55
0.56118,0.95505,0.31255,7889OS,task,20.92376,561.18
0.26395,0.91701,0.20115,7889OS,task,21.2038,263.95
0.21436,0.87209,0.95775,7889OS,task,21.43473,214.36
0.21481,0.78064,0.76925,7889OS,model,21.71499,214.81
0.19794,0.80355,0.2536,7889OS,task,21.97867,197.94
0.26416,0.93624,0.33487,7889OS,task,22.30849,264.16
0.57681,0.21188,0.21057,7889OS,text,23.36377,576.81
0.19781,0.14843,0.19068,7889OS,text,23.62762,197.81
0.24725,0.1328,0.3069,7889OS,text,23.94083,247.25
0.19826,0.60847,0.7073,7889OS,model,28.24403,198.26
0.34584,0.3821,0.43637,7889OS,text,28.82091,345.84
0.23066,0.37333,0.26299,7889OS,text,29.11774,230.66
0.21398,0.85186,0.19642,7889OS,task,29.34854,213.98
0.19775,0.36617,0.08431,7889OS,text,29.61269,197.75
0.21441,0.14475,0.35802,7889OS,text,29.89326,214.41
0.13131,0.71879,0.58364,7889OS,model,30.13993,131.31
0.24667,0.83737,0.70114,7889OS,task,30.45338,246.67
0.24683,0.82965,0.4975,7889OS,task,31.03014,246.83
0.24683,0.41639,0.28514,7889OS,model,37.57596,246.83
0.23066,0.48084,0.90725,7889OS,model,38.10381,230.66
0.09876,0.29183,0.7234,7889OS,text,40.24726,98.76
0.23061,0.25742,0.28074,7889OS,text,44.38584,230.61
0.23035,0.0431,0.81032,7889OS,hierachy,48.21066,230.35
0.08257,0.0118,0.81156,7889OS,hierachy,48.45827,82.57
0.2643,0.51272,0.90879,7889OS,model,49.84354,264.3
0.04919,0.46433,0.38874,7889OS,model,52.67924,49.19
0.21463,0.31547,0.32751,7889OS,text,52.9602,214.63
0.19754,0.59239,0.30155,7889OS,model,53.56896,197.54
0.04939,0.55087,0.21331,7889OS,model,53.68487,49.39
0.21437,0.7432,0.45878,7889OS,model,53.91547,214.37
0.2804,0.48192,0.25672,7889OS,model,54.41041,280.4
0.28033,0.10852,0.29939,7889OS,text,54.70736,280.33
0.11513,0.11007,0.55092,7889OS,text,62.19257,115.13
0.33026,0.5588,0.65058,7889OS,model,63.34705,330.26
0.19803,0.62739,0.13295,7889OS,model,63.61056,198.03
0.21501,0.72359,0.49084,7889OS,model,63.89147,215.01
0.06583,0.67958,0.78842,7889OS,model,64.02276,65.83
0.23085,0.44889,0.53137,7889OS,model,69.62919,230.85
0.23183,0.44031,0.16249,7889OS,model,71.06382,231.83
0.2303,0.3247,0.21676,7889OS,text,71.35981,230.3
0.11548,0.60099,0.61188,7889OS,model,71.49184,115.48
0.19849,0.57963,0.2919,7889OS,model,71.75643,198.49
0.21411,0.79905,0.44035,7889OS,model,71.98666,214.11
0.23033,0.35382,0.15747,7889OS,text,72.28312,230.33
0.23145,0.6194,0.41687,7889OS,model,72.53117,231.45
0.23088,0.48209,0.4697,7889OS,model,72.97585,230.88
0.23073,0.51962,0.15035,7889OS,model,73.27273,230.73
0.19785,0.60185,0.63352,7889OS,model,74.21221,197.85
0.21399,0.04478,0.88928,7889OS,hierachy,75.05334,213.99
0.04912,0.81632,0.23623,7889OS,task,77.83987,49.12
0.19748,0.90342,0.47182,7889OS,task,78.25182,197.48
