FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2019/03/15 10:03:10.870),FixationDuration
0.23117,0.07608,0.36685,7889OS,hierachy,198.26752,231.17
0.21384,0.21172,0.54679,7889OS,text,198.49826,213.84
0.24701,0.17802,0.46604,7889OS,text,198.76199,247.01
0.41275,0.20714,0.38319,7889OS,text,199.19135,412.75
0.31308,0.29248,0.55215,7889OS,text,199.521,313.08
0.24695,0.79466,0.36466,7889OS,model,199.88336,246.95
0.31326,0.34936,0.33464,7889OS,text,200.21329,313.26
0.04883,0.11349,0.20556,7889OS,text,200.79025,48.83
0.23123,0.0379,0.15937,7889OS,hierachy,201.03799,231.23
0.215,0.08269,0.81692,7889OS,hierachy,202.24173,215
0.32962,0.23264,0.95201,7889OS,text,202.63672,329.62
0.16431,0.56463,0.4433,7889OS,model,203.01608,164.31
0.0495,0.56861,0.21139,7889OS,model,203.13159,49.5
0.21402,0.87689,0.62763,7889OS,task,203.41174,214.02
0.09937,0.70835,0.65612,7889OS,model,203.57733,99.37
0.09857,0.56932,0.57129,7889OS,model,205.60477,98.57
0.26355,0.58657,0.39381,7889OS,model,206.03357,263.55
0.21439,0.36912,0.66574,7889OS,text,234.2114,214.39
0.19736,0.54592,0.77342,7889OS,model,234.47525,197.36
0.28,0.57947,0.73203,7889OS,model,235.03635,280
0.24765,0.56059,0.80481,7889OS,model,235.34943,247.65
0.1153,0.66695,0.55135,7889OS,model,238.99329,115.3
0.37927,0.88991,0.41838,7889OS,task,240.79065,379.27
0.51114,0.7523,0.37313,7889OS,model,241.31802,511.14
0.21478,0.5775,0.54242,7889OS,model,242.48901,214.78
0.06522,0.56713,0.43941,7889OS,model,242.57086,65.22
0.21448,0.63002,0.85204,7889OS,model,242.80185,214.48
0.23087,0.4993,0.83768,7889OS,model,243.04938,230.87
0.36319,0.52865,0.88882,7889OS,model,243.42868,363.19
0.47815,0.55735,0.67125,7889OS,model,243.92328,478.15
0.36261,0.47642,0.82409,7889OS,model,244.30249,362.61
0.26352,0.56574,0.84315,7889OS,model,244.63196,263.52
0.28073,0.56051,0.8974,7889OS,model,244.92892,280.73
0.47809,0.52404,0.9027,7889OS,model,245.42331,478.09
0.26376,0.57861,0.71037,7889OS,model,245.70319,263.76
0.26349,0.48942,0.89133,7889OS,model,245.98343,263.49
0.64395,0.72205,0.782,7889OS,model,247.43524,643.95
0.23145,0.7278,0.57748,7889OS,model,247.68262,231.45
0.2641,0.78007,0.38452,7889OS,model,247.96255,264.1
0.29697,0.71177,0.46709,7889OS,model,248.27567,296.97
0.26434,0.7895,0.59369,7889OS,model,248.91898,264.34
0.21426,0.65909,0.52571,7889OS,model,249.19922,214.26
0.34674,0.79797,0.54465,7889OS,model,249.56204,346.74
0.19748,0.68654,0.49017,7889OS,model,249.82516,197.48
0.47815,0.74275,0.42356,7889OS,model,250.36996,478.15
0.29703,0.66704,0.55203,7889OS,model,250.68332,297.03
0.26398,0.78392,0.53162,7889OS,model,250.96341,263.98
0.33002,0.79941,0.62783,7889OS,model,251.45792,330.02
0.28061,0.81664,0.69277,7889OS,task,252.11783,280.61
0.24673,0.83759,0.60639,7889OS,task,252.38089,246.73
0.14874,0.70222,0.61665,7889OS,model,252.69437,148.74
0.08255,0.57957,0.8253,7889OS,model,253.4364,82.55
0.19806,0.58944,0.46688,7889OS,model,253.65054,198.06
0.05005,0.58858,0.62291,7889OS,model,253.71707,50.05
0.21411,0.93753,0.15476,7889OS,task,253.99689,214.11
0.2312,0.97077,0.17966,7889OS,task,254.68958,231.2
0.24695,0.67542,0.10046,7889OS,model,255.00253,246.95
0.2467,0.66868,0.19622,7889OS,model,255.26624,246.7
0.23083,0.50196,0.73882,7889OS,model,255.51346,230.83
0.42847,0.65663,0.39613,7889OS,model,256.10696,428.47
0.23032,0.70977,0.51726,7889OS,model,256.35422,230.32
0.21439,0.64981,0.23913,7889OS,model,256.58524,214.39
0.29672,0.66999,0.18322,7889OS,model,256.94852,296.72
0.08237,0.67045,0.6321,7889OS,model,257.04733,82.37
0.24802,0.32969,0.53148,7889OS,text,257.36111,248.02
0.2305,0.19566,0.3181,7889OS,text,257.70691,230.5
0.21399,0.33245,0.6979,7889OS,text,257.93738,213.99
0.26346,0.63276,0.58074,7889OS,model,258.31644,263.46
0.1983,0.64535,0.08725,7889OS,model,258.58102,198.3
0.19785,0.6443,0.58954,7889OS,model,258.84485,197.85
0.75818,0.57495,0.87327,7889OS,model,261.15247,758.18
0.1983,0.5888,0.18113,7889OS,model,261.41675,198.3
0.31284,0.61837,0.84564,7889OS,model,261.89471,312.84
0.31326,0.54852,0.59831,7889OS,model,262.27386,313.26
0.29688,0.60595,0.77303,7889OS,model,262.58722,296.88
0.23047,0.52958,0.78102,7889OS,model,263.09793,230.47
0.26361,0.5235,0.74724,7889OS,model,263.37845,263.61
0.21378,0.52239,0.60815,7889OS,model,263.60956,213.78
0.34546,0.57134,0.81559,7889OS,model,263.97183,345.46
0.28003,0.61449,0.94761,7889OS,model,264.31833,280.03
0.28058,0.52632,0.88138,7889OS,model,264.61542,280.58
0.34573,0.44371,0.884,7889OS,model,265.63745,345.73
0.23096,0.08028,0.42262,7889OS,hierachy,265.98419,230.96
0.21445,0.195,0.50342,7889OS,text,266.26398,214.45
0.47745,0.19868,0.39657,7889OS,text,266.80792,477.45
0.39529,0.26416,0.37753,7889OS,text,267.22015,395.29
0.29715,0.33072,0.3273,7889OS,text,267.53372,297.15
0.26376,0.22066,0.50969,7889OS,text,268.49033,263.76
0.3302,0.18526,0.52143,7889OS,text,268.83646,330.2
0.29691,0.19963,0.40034,7889OS,text,269.14957,296.91
0.29684,0.25062,0.38469,7889OS,text,269.46295,296.84
0.29691,0.29342,0.4276,7889OS,text,269.77621,296.91
0.56024,0.3549,0.35672,7889OS,text,270.35306,560.24
0.36469,0.12339,0.45762,7889OS,text,270.73462,364.69
0.29694,0.20057,0.41252,7889OS,text,271.09564,296.94
0.42853,0.30878,0.42222,7889OS,text,271.54041,428.53
0.23117,0.17263,0.45514,7889OS,text,271.78787,231.17
0.23141,0.36358,0.38338,7889OS,text,272.08456,231.41
