FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2018/10/26 16:24:10.124),FixationDuration
0.29712,0.54589,0.32681,123SD,model,50.2229,297.12
0.18115,0.91749,0.13838,123SD,task,51.55811,181.15
0.18164,0.75934,0.73197,123SD,model,52.34985,181.64
0.06616,0.91951,0.19422,123SD,task,56.7522,66.16
0.09839,0.79891,0.18015,123SD,model,57.41138,98.39
0.04883,0.41318,0.10416,123SD,model,59.85156,48.83
0.09863,0.4444,0.17362,123SD,model,60.0166,98.63
0.08252,0.97133,0.27814,123SD,task,62.43994,82.52
0.13159,0.83003,0.32902,123SD,task,63.92358,131.59
0.23071,0.94071,0.48567,123SD,task,65.1604,230.71
0.08203,0.97642,0.1962,123SD,task,65.30859,82.03
0.19751,0.36788,0.1089,123SD,text,66.64453,197.51
0.08276,0.9811,0.34347,123SD,task,104.60034,82.76
0.13232,0.94797,0.31148,123SD,task,180.06543,132.32
0.2627,0.66148,0.36592,123SD,model,181.13623,262.7
0.09863,0.60446,0.23911,123SD,model,181.25244,98.63
0.21484,0.72305,0.39882,123SD,model,181.4834,214.84
0.29688,0.51564,0.17569,123SD,model,181.99414,296.88
0.13184,0.50062,0.23307,123SD,model,182.14258,131.84
0.13135,0.78196,0.24947,123SD,model,182.68652,131.35
0.18164,0.75688,0.43358,123SD,model,184.51709,181.64
0.09863,0.41884,0.18369,123SD,model,185.81934,98.63
0.26416,0.70355,0.51554,123SD,model,187.38574,264.16
0.0498,0.9302,0.31932,123SD,task,192.89307,49.8
0.08252,0.71245,0.43951,123SD,model,193.14014,82.52
0.0498,0.41121,0.31623,123SD,model,193.30518,49.8
0.24756,0.7399,0.11555,123SD,model,196.93262,247.56
0.39453,0.71124,0.1067,123SD,model,197.77246,394.53
0.23096,0.73909,0.08619,123SD,model,198.51514,230.96
0.18213,0.70526,0.39164,123SD,model,198.91113,182.13
0.19629,0.82443,0.17844,123SD,task,200.2793,196.29
0.16602,0.52171,0.22369,123SD,model,200.46191,166.02
0.26416,0.63734,0.39979,123SD,model,202.17529,264.16
0.28076,0.91671,0.34888,123SD,task,202.57129,280.76
0.26416,0.69818,0.38064,123SD,model,203.89014,264.16
0.52734,0.38623,0.09658,123SD,text,204.82959,527.34
0.06641,0.64326,0.3008,123SD,model,204.9126,66.41
0.13086,0.87025,0.33074,123SD,task,205.75293,130.86
0.19775,0.65751,0.40229,123SD,model,206.36328,197.75
0.42871,0.64156,0.34463,123SD,model,206.80859,428.71
0.21533,0.68732,0.35185,123SD,model,207.56787,215.33
0.13184,0.62983,0.38965,123SD,model,207.91309,131.84
0.09912,0.90185,0.42716,123SD,task,208.37451,99.12
0.13232,0.68605,0.424,123SD,model,209.71045,132.32
0.08301,0.2642,0.70794,123SD,text,211.96973,83.01
0.23096,0.979,0.30522,123SD,task,238.39941,230.96
0.08203,0.64575,0.39164,123SD,model,239.32227,82.03
0.37988,0.54842,0.16522,123SD,model,240.01563,379.88
0.37842,0.67363,0.42687,123SD,model,241.99316,378.42
0.14795,0.49978,0.4959,123SD,model,247.20361,147.95
0.21436,0.66329,0.30826,123SD,model,248.02832,214.36
0.06641,0.90942,0.11799,123SD,task,248.3252,66.41
0.08301,0.90512,0.49717,123SD,task,605.15674,83.01
