FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2018/10/26 16:24:10.124),FixationDuration
0.69165,0.94911,0.40678,4888CYBR,task,916.39905,691.65
0.47827,0.82723,0.39763,4888CYBR,task,916.89417,478.27
0.4458,0.88207,0.36897,4888CYBR,task,917.35608,445.8
0.61035,0.82978,0.39008,4888CYBR,task,917.9823,610.35
0.42871,0.86792,0.43586,4888CYBR,task,918.42737,428.71
0.79126,0.8978,0.46545,4888CYBR,task,919.58118,791.26
0.46094,0.95753,0.43651,4888CYBR,task,920.0592,460.94
0.47803,0.88618,0.46585,4888CYBR,task,920.55408,478.03
0.51147,0.82741,0.50505,4888CYBR,task,921.08215,511.47
0.1814,0.87364,0.23257,4888CYBR,task,921.27942,181.4
0.47778,0.92682,0.46539,4888CYBR,task,922.12048,477.78
0.34668,0.86827,0.4434,4888CYBR,task,922.48328,346.68
0.3457,0.60907,0.64134,4888CYBR,model,922.84583,345.7
0.04956,0.62938,1.2968,4888CYBR,model,922.9613,49.56
0.31348,0.91709,0.49615,4888CYBR,task,923.39001,313.48
0.198,0.04236,0.34824,4888CYBR,hierachy,924.04944,198
0.26343,0.40614,0.24477,4888CYBR,model,924.32971,263.43
0.52808,0.58579,0.21387,4888CYBR,model,924.92371,528.08
0.2644,0.2924,0.2686,4888CYBR,text,925.20398,264.4
0.72534,0.2365,0.24818,4888CYBR,text,925.99548,725.34
0.85767,0.22278,0.20555,4888CYBR,text,926.86926,857.67
0.51147,0.12273,0.31046,4888CYBR,text,927.69421,511.47
0.46167,0.05061,0.38322,4888CYBR,hierachy,928.22107,461.67
0.29663,0.19577,0.27459,4888CYBR,text,928.5343,296.63
0.59351,0.22084,0.26695,4888CYBR,text,929.14417,593.51
0.28027,0.31532,0.26822,4888CYBR,text,929.44104,280.27
0.39575,0.49556,0.35076,4888CYBR,model,929.85339,395.75
0.26318,0.60138,0.52374,4888CYBR,model,930.52917,263.18
0.52783,0.64744,0.62419,4888CYBR,model,931.07336,527.83
0.26392,0.69221,4.26419,4888CYBR,model,931.45276,263.92
0.26367,0.87564,4.07039,4888CYBR,task,931.73303,263.67
0.41211,0.4809,0.48191,4888CYBR,model,932.85437,412.11
0.41284,0.51135,0.29768,4888CYBR,model,933.87683,412.84
0.65894,0.52793,0.46034,4888CYBR,model,934.60168,658.94
0.21411,0.61386,0.80823,4888CYBR,model,934.8822,214.11
0.2146,0.55368,0.53992,4888CYBR,model,935.16296,214.6
0.56055,0.53318,0.61124,4888CYBR,model,935.78918,560.55
0.23071,0.13144,0.24856,4888CYBR,text,936.23401,230.71
0.19873,0.47591,0.49182,4888CYBR,model,936.79504,198.73
0.42896,0.59339,0.50532,4888CYBR,model,937.28992,428.96
0.46167,0.58034,0.44192,4888CYBR,model,937.76746,461.67
0.67578,0.62774,0.36598,4888CYBR,model,938.45984,675.78
2.95142,0.56469,0.31555,4888CYBR,model,941.42786,2951.42
0.44531,0.49155,0.29181,4888CYBR,model,941.93909,445.31
0.41284,0.51502,0.29505,4888CYBR,model,942.3678,412.84
0.26465,0.85676,0.52488,4888CYBR,task,943.14319,264.65
0.31396,0.9173,0.54665,4888CYBR,task,943.47327,313.96
0.36279,0.93055,0.44924,4888CYBR,task,943.85168,362.79
0.28027,0.86708,0.55768,4888CYBR,task,944.14856,280.27
0.28052,0.81565,0.46802,4888CYBR,task,944.44543,280.52
